0.52208,0.36933,4.4155
0.44644,0.36483,18.419
0.40992,0.35831,48.278
0.5045,0.32656,18.419
0.55829,0.29111,18.419
0.42347,0.44554,4.4155
0.38515,0.40522,18.419
0.36594,0.38501,48.278
0.31732,0.52757,4.4155
0.3222,0.44671,18.419
0.32142,0.41204,48.278
0.27713,0.43894,48.278
0.5066,0.41398,18.419
0.45975,0.40187,48.278
0.5645,0.3654,18.419
0.61673,0.32158,18.419
0.44367,0.46679,18.419
0.41418,0.43576,48.278
0.37701,0.52271,18.419
0.36719,0.47072,48.278
0.30871,0.58002,18.419
0.31956,0.50615,48.278
0.45146,0.47499,48.278
0.40315,0.51682,48.278
0.4036,0.28552,4.4155
0.36942,0.30188,18.419
0.35388,0.30932,48.278
0.42515,0.2752,18.419
0.47866,0.24959,18.419
NaN,NaN,0
0.31273,0.32902,4.4155
0.31273,0.32902,18.419
0.31273,0.32902,48.278
0.31273,0.32902,100
0.25667,0.35586,18.419
0.27191,0.34857,48.278
0.2764,0.19553,4.4155
0.2914,0.23813,18.419
0.29787,0.26037,48.278
0.35162,0.1752,4.4155
0.34174,0.22121,18.419
0.33562,0.24637,48.278
0.39191,0.20435,18.419
0.20435,0.215,4.4155
0.24209,0.2547,18.419
0.26061,0.27419,48.278
0.22437,0.28763,48.278
0.18048,0.12768,4.4155
0.22368,0.18279,18.419
0.2382,0.11868,4.4155
0.26672,0.17265,18.419
0.31108,0.16221,18.419
0.16006,0.079752,4.4155
0.20551,0.13303,18.419
0.24306,0.12674,18.419
